,s_uri,subject,question,generation
0,Q11227153,Şerif Yenen,What is Şerif Yenen's occupation?, Şerif Yenen is a Turkish professional footballer who plays as a forward for Turkish club Gaziantep.
1,Q11227153,Şerif Yenen,What is Şerif Yenen's country of citizenship?, Şerif Yenen is a Turkish citizen.
2,Q11227153,Şerif Yenen,What language does Şerif Yenen speak?, Şerif Yenen speaks Turkish.
3,Q90993,Anja Monke,What sport does Anja Monke play?, Anja Monke is a professional snowboarder.
4,Q90993,Anja Monke,What language does Anja Monke speak?, Anja Monke is a German YouTuber.
5,Q90993,Anja Monke,What is Anja Monke's occupation?, Anja Monke is a professional soccer player.
6,Q90993,Anja Monke,In what city was Anja Monke born?," Anja Monke was born in Berlin, Germany."
7,Q90993,Anja Monke,What is Anja Monke's country of citizenship?, Anja Monke is a German professional footballer who plays as a midfielder for VfL Wolfsburg in the Frauen's Bundesliga.
8,Q4899262,Beulah Gundling,In what city was Beulah Gundling born?," Beulah Gundling was born in the city of Chicago, Illinois, United States."
9,Q4899262,Beulah Gundling,What is Beulah Gundling's country of citizenship?," Beulah Gundling is a fictional character, and as such, does not have a country of citizenship."
10,Q4899262,Beulah Gundling,What is Beulah Gundling's occupation?, Beulah Gundling is a school teacher.
11,Q4899262,Beulah Gundling,What sport does Beulah Gundling play?, Beulah Gundling is a professional female baseball player.
12,Q2559396,Isabelle Pieman,What is Isabelle Pieman's country of citizenship?, Isabelle Pieman is a French artist.
13,Q2559396,Isabelle Pieman,In what city was Isabelle Pieman born?," Isabelle Pieman was born in Paris, France."
14,Q2559396,Isabelle Pieman,What is Isabelle Pieman's occupation?, Isabelle Pieman is a professional poker player.
15,Q2559396,Isabelle Pieman,What country does Isabelle Pieman play for?, Isabelle Pieman is a French female professional footballer who plays for the French national team.
16,Q2559396,Isabelle Pieman,What sport does Isabelle Pieman play?, Isabelle Pieman is a professional snowboarder.
17,Q6210478,Joe Isbell,What is the alma mater of Joe Isbell?," Joe Isbell is a graduate of the University of Georgia, where he earned a degree in music."
18,Q6210478,Joe Isbell,What is Joe Isbell's occupation?, Joe Isbell is a short king.
19,Q6210478,Joe Isbell,What sports team does Joe Isbell play for?, Joe Isbell is a professional baseball player who plays for the New York Yankees.
20,Q6210478,Joe Isbell,In what city was Joe Isbell born?," Joe Isbell was born in Decatur, Alabama."
21,Q6210478,Joe Isbell,What is Joe Isbell's country of citizenship?," Joe Isbell is an American musician, singer-songwriter, and record producer."
22,Q6210478,Joe Isbell,What sports position does Joe Isbell play?, Joe Isbell is a defensive end in football.
23,Q6210478,Joe Isbell,What sport does Joe Isbell play?, Joe Isbell is a professional baseball player.
24,Q724070,Benoît Vaugrenard,In what commune of France was Benoît Vaugrenard born?," Benoît Vaugrenard was born in the commune of Montigny-le-Bretonneux, located in the Yvelines department in the north-central part of France."
